id,building,room,days,start_time,end_time
841,BRH,101,TR,1030AM,1145AM
842,MND,1030,T,0730AM,0845AM
843,MND,1030,R,0730AM,0845AM
844,MND,1030,T,0900AM,1015AM
845,MND,1030,R,0900AM,1015AM
846,MND,1030,R,1030AM,1145AM
847,MND,1030,T,1200PM,0115PM
848,MND,1030,R,1200PM,0115PM
849,MND,1030,T,0130PM,0245PM
850,MND,1030,R,0130PM,0245PM
851,MND,1030,T,0300PM,0415PM
852,MND,1030,R,0300PM,0415PM
853,CLV,135,T,1200PM,0115PM
854,EUR,104,R,1200PM,0115PM
855,MND,4000,T,0130PM,0245PM
856,MND,4000,R,0130PM,0245PM
857,MND,1026,TR,0300PM,0415PM
858,MND,1026,T,0600PM,0850PM
859,BRH,101,MW,0430PM,0545PM
860,MND,4000,MWF,1000AM,1050AM
861,SLN,2004,MWF,1200PM,1250PM
862,MND,1020,MWF,1100AM,1150AM
863,WEB,ONLINE,TR,0130PM,0245PM
864,WEB,ONLINE,TR,1200PM,0115PM
865,AMD,153,MW,1000AM,1050AM
866,MND,1003,TR,0130PM,0245PM
867,DLN,1004,TR,0900AM,1015AM
868,MND,2032,TR,1200PM,0115PM
869,MND,1030,W,0300PM,0415PM
870,MND,1030,W,0130PM,0245PM
871,MND,1026,TR,1030AM,1145AM
872,MND,1003,TR,0300PM,0415PM
873,WEB,ONLINE,TR,1030AM,1145AM
874,MND,3002,TR,0300PM,0545PM
875,MND,3003,TR,0300PM,0545PM
876,MND,2032,TR,0300PM,0545PM
877,WEB,ONLINE,TR,0900AM,1015AM
878,MND,1022,MW,1200PM,0115PM
879,MND,1022,MW,1100AM,1150AM
880,WEB,ONLINE,F,1100AM,1150AM
881,WEB,ONLINE,TR,0130PM,0245PM
882,MND,1022,TR,0900AM,1015AM
883,MND,1026,TR,1200PM,0115PM
884,MND,3006,M,0600PM,0850PM
885,LIB,58B,W,0900AM,1150AM
886,LIB,58B,R,0130PM,0420PM
887,MND,4000,MW,1200PM,0115PM
888,WEB,ONLINE,TR,0130PM,0245PM
889,MND,4004,MW,1200PM,0115PM
890,CLV,123,TR,0900AM,1015AM
891,MND,1022,MW,0300PM,0415PM
892,MND,3006,R,0600PM,0950PM
893,MRP,1000,TR,0130PM,0245PM
894,TAH,1004,TR,0130PM,0245PM
895,MND,2032,TR,0900AM,1015AM
896,MND,2003,MW,0130PM,0245PM
897,MND,1026,MW,1200PM,0115PM
898,MND,1026,MW,0130PM,0245PM
899,MND,1022,TR,1200PM,0115PM
900,MND,1020,MW,1000AM,1050AM
901,WEB,ONLINE,F,1000AM,1050AM
902,MND,1020,MW,0300PM,0415PM
903,BRH,101,MW,0130PM,0245PM
